,SMILES,TUBB,SCScore,QED
17,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc(F)cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,50.20880844871505,4.444,0.099
18,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc(I)cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,33.21313361206642,4.185,0.076
19,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc(N)cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,69.18752722933144,4.346,0.064
20,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc(O)cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,72.59673540057986,4.247,0.084
21,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc(OC)cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,83.40739683207582,4.156,0.093
22,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc(S)cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,79.40572201218862,4.093,0.065
23,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc([NH3+])cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,85.37161844663304,4.328,0.082
24,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc([SiH3])cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,63.4190001668407,4.358,0.091
25,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccccc4)[C@@H]4[C@]5(OC(=O)c6ccccc6)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,72.98034460595956,4.102,0.073
26,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccccc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(=O)C(=O)O)C(=C2C)C3(C)C)cc1,70.44077032631948,4.362,0.063
27,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccccc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(=O)c4ccccc4)C(=C2C)C3(C)C)cc1,70.44077032631948,4.054,0.073
28,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccccc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,70.44077032631948,4.13,0.099
29,Bc1ccc(C(=O)N[C@@H](c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(C)=O)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,197.7631810464054,4.241,0.119
30,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(Br)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.227,0.099
31,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(C(=O)Cl)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.203,0.071
32,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(C(=O)O)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.236,0.079
33,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(C(C)=O)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.252,0.071
34,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(C)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.181,0.099
35,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(Cl)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.276,0.1
36,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(F)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.444,0.099
37,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(I)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.185,0.076
38,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(N)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.346,0.064
39,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(O)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.247,0.084
40,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(OC)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.156,0.093
41,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc(S)cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.093,0.065
42,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccc([SiH3])cc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.358,0.091
43,Bc1ccc(C(=O)O[C@H]2[C@@H]3[C@]4(OC(C)=O)CO[C@@H]4C[C@H](O)[C@@]3(C)C(=O)[C@H](OC(C)=O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccncc4)c4ccccc4)C[C@]2(O)C3(C)C)cc1,3482.1480258860847,4.264,0.098
44,Bc1ccc([C@H](NC(=O)c2ccccc2)[C@@H](O)C(=O)O[C@H]2C[C@@]3(O)[C@@H](OC(=O)c4ccc(O)cc4)[C@@H]4[C@]5(OC(C)=O)CO[C@@H]5C[C@H](O)[C@@]4(C)C(=O)[C@H](OC(C)=O)C(=C2C)C3(C)C)cc1,328.63521312937894,4.213,0.084
